risk_rank,customer_id,churn_probability,risk_band,contract_type,tenure_months,monthly_charges,usage_trend,support_tickets_last_90d,late_payments_last_6m,suggested_review_reasons
155,102193,0.8379,Critical,Month-to-month,5,74.16,-0.43834015195791937,2,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 44% recently | 2 support ticket(s) / 90d
156,103640,0.8375,Critical,Month-to-month,17,93.37,-0.09433962264150951,2,0,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d
157,101707,0.8374,Critical,Month-to-month,18,78.27,-0.7061881188118813,1,0,Month-to-month contract (no lock-in) | Usage down 71% recently | 1 support ticket(s) / 90d
158,103659,0.8365,Critical,Month-to-month,1,64.17,0.04110612855007466,0,2,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 2 late payment(s) in last 6mo
159,101090,0.8351,Critical,Month-to-month,30,51.96,-0.49633848657445073,2,1,Month-to-month contract (no lock-in) | Usage down 50% recently | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
160,102536,0.8351,Critical,One year,10,72.09,-0.7019455252918287,0,2,Usage down 70% recently | 2 late payment(s) in last 6mo
161,101189,0.8346,Critical,Month-to-month,45,106.28,-0.3604221635883905,0,2,Month-to-month contract (no lock-in) | Usage down 36% recently | 2 late payment(s) in last 6mo
162,100474,0.8345,Critical,Month-to-month,50,64.52,-0.7294056308654848,1,2,Month-to-month contract (no lock-in) | Usage down 73% recently | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
163,102937,0.8336,Critical,One year,11,108.23,-0.44178364987613544,2,0,Usage down 44% recently | 2 support ticket(s) / 90d
164,101353,0.8331,Critical,Two year,7,81.19,-0.14462896783687204,1,2,Usage declining (-14%) | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
165,100018,0.8322,Critical,Month-to-month,6,58.47,-0.462937062937063,0,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 46% recently | 1 late payment(s) in last 6mo
166,104453,0.8321,Critical,Month-to-month,2,57.23,-0.0987453531598513,1,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
167,102713,0.8316,Critical,Month-to-month,16,45.29,-0.08394698085419738,2,1,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
168,100208,0.8312,Critical,Month-to-month,14,88.87,-0.06177549523110796,3,0,Month-to-month contract (no lock-in) | High support load (3 tickets / 90d)
169,105748,0.8306,Critical,One year,16,77.82,-0.304144385026738,3,1,Usage down 30% recently | High support load (3 tickets / 90d) | 1 late payment(s) in last 6mo
170,105398,0.8305,Critical,Month-to-month,11,78.35,0.13366699218750003,2,1,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
171,104783,0.83,Critical,Month-to-month,30,142.002827893254,-0.4036764705882353,0,2,Month-to-month contract (no lock-in) | Usage down 40% recently | 2 late payment(s) in last 6mo
172,104583,0.8295,Critical,Month-to-month,30,113.32,-0.4719507781397032,1,1,Month-to-month contract (no lock-in) | Usage down 47% recently | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
173,105990,0.8291,Critical,Month-to-month,3,101.38,0.005322415557830051,1,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
174,100453,0.8281,Critical,Month-to-month,1,85.46,0.021656050955414004,2,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 2 support ticket(s) / 90d
175,101066,0.8279,Critical,Month-to-month,4,33.8,0.022825008269930575,3,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | High support load (3 tickets / 90d)
176,101782,0.8276,Critical,Month-to-month,35,76.76,-0.7517299116430144,2,0,Month-to-month contract (no lock-in) | Usage down 75% recently | 2 support ticket(s) / 90d
177,100297,0.8276,Critical,Month-to-month,14,81.53,-0.07063711911357339,1,1,Month-to-month contract (no lock-in) | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
178,101556,0.8275,Critical,Month-to-month,20,72.87,-0.30518909410729983,2,1,Month-to-month contract (no lock-in) | Usage down 31% recently | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
179,102768,0.8266,Critical,Month-to-month,24,94.1,-0.4721115537848605,1,0,Month-to-month contract (no lock-in) | Usage down 47% recently | 1 support ticket(s) / 90d
180,100317,0.8262,Critical,Month-to-month,9,78.56,-0.2928257686676427,1,0,Month-to-month contract (no lock-in) | Usage declining (-29%) | 1 support ticket(s) / 90d
181,103375,0.8261,Critical,Month-to-month,23,103.18,-0.41810642709053214,2,0,Month-to-month contract (no lock-in) | Usage down 42% recently | 2 support ticket(s) / 90d
182,101998,0.8257,Critical,Month-to-month,48,76.78,-0.6484168865435356,3,0,Month-to-month contract (no lock-in) | Usage down 65% recently | High support load (3 tickets / 90d)
183,105580,0.8257,Critical,Month-to-month,4,87.46,-0.010159010600706732,1,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
184,100760,0.8256,Critical,Month-to-month,5,75.81,-0.4711538461538462,1,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 47% recently | 1 support ticket(s) / 90d
185,102225,0.8251,Critical,Month-to-month,4,108.96,-0.5515818431911967,0,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 55% recently
186,102077,0.825,Critical,One year,7,100.39,-0.48733302625518193,1,1,Usage down 49% recently | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
187,104393,0.8249,Critical,Month-to-month,14,65.88,-0.02090747330960849,0,2,Month-to-month contract (no lock-in) | 2 late payment(s) in last 6mo
188,103039,0.8249,Critical,Month-to-month,41,87.49,-0.37040358744394625,2,1,Month-to-month contract (no lock-in) | Usage down 37% recently | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
189,101941,0.8249,Critical,One year,5,64.4,0.13906111603188667,2,2,New customer (tenure <= 6 months) | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
190,104065,0.8242,Critical,One year,17,93.95,-0.6620352250489236,3,0,Usage down 66% recently | High support load (3 tickets / 90d)
191,103589,0.8241,Critical,Month-to-month,18,84.57,0.04648829431438129,1,2,Month-to-month contract (no lock-in) | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
192,100947,0.8237,Critical,Month-to-month,3,99.23,-0.12476623029655352,2,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage declining (-12%) | 2 support ticket(s) / 90d
193,103991,0.8236,Critical,Month-to-month,18,75.02,-0.6964980544747081,1,0,Month-to-month contract (no lock-in) | Usage down 70% recently | 1 support ticket(s) / 90d
194,103760,0.8234,Critical,Month-to-month,15,83.28,-0.09636118598382748,2,1,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
195,102934,0.8234,Critical,Month-to-month,9,113.9,-0.13799562909772092,0,1,Month-to-month contract (no lock-in) | Usage declining (-14%) | 1 late payment(s) in last 6mo
196,105126,0.8228,Critical,Month-to-month,2,119.32,0.041162227602905554,1,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 1 support ticket(s) / 90d
197,103882,0.8223,Critical,Month-to-month,32,47.07,-0.7110973341599504,1,1,Month-to-month contract (no lock-in) | Usage down 71% recently | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
198,103256,0.8216,Critical,Month-to-month,7,111.75,-0.1278174037089871,1,0,Month-to-month contract (no lock-in) | Usage declining (-13%) | 1 support ticket(s) / 90d
199,103779,0.8213,Critical,Month-to-month,11,67.34,-0.1052132701421802,0,2,Month-to-month contract (no lock-in) | Usage declining (-11%) | 2 late payment(s) in last 6mo
200,102744,0.8198,Critical,Month-to-month,50,123.17,-0.028813559322033885,1,2,Month-to-month contract (no lock-in) | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
